"","V1","V2","V3","V4","V5"
"H1-9P",1,NA,NA,NA,0
"TMEM52",1,-1,1,-1,1
"CDC27P11",1,NA,NA,NA,0
"LINC00696",1,NA,NA,NA,0
"RPH3AL-AS1",1,NA,NA,NA,0
"KRT17P5",1,NA,NA,NA,0
"SMIM32",1,1,-1,NA,1
"ZNRF4",1,NA,NA,1,0
"FLJ16779",1,NA,NA,1,0
"LOC102724562",1,NA,NA,NA,0
"FZD10",1,-1,-1,1,1
"LINC02992",1,NA,NA,NA,0
"CYP11B2",1,NA,NA,-1,1
"FOXE3",1,NA,NA,1,0
"AQP10",1,-1,-1,1,1
"ACTN3",1,-1,-1,1,1
"GPR179",1,-1,1,-1,1
"LOC102724728",1,NA,NA,NA,0
"POM121L1P",1,NA,NA,1,0
"MYO7B",1,-1,1,-1,1
"PROB1",1,-1,1,NA,1
"SMCR5",1,NA,NA,-1,1
"KRTAP12-4",1,1,1,NA,0
"MIR6892",1,NA,NA,NA,0
"PRM3",1,-1,-1,-1,1
"NANOS2",1,NA,1,-1,1
"RIMBP3C",1,1,1,NA,0
"FOXD4",1,1,1,1,0
"NOTUM",1,-1,-1,-1,1
"EPOR",1,-1,1,1,1
"KRTAP10-4",1,NA,NA,1,0
"VIL1",1,1,1,-1,1
"CTRL",1,-1,1,1,1
"APLP1",1,1,1,-1,1
"RIMBP3",1,1,1,1,0
"ALPI",1,NA,NA,-1,1
"MAMDC4",1,-1,1,NA,1
"LOC407835",1,NA,NA,-1,1
"26222",1,NA,NA,NA,0
"SLC6A10PB",1,NA,NA,NA,0
"SLIT1-AS1",1,NA,NA,NA,0
"PLCD1",1,1,1,1,0
"ELOA3CP",1,NA,NA,NA,0
"NEUROG1",1,NA,NA,1,0
"ELOA3DP",1,NA,NA,NA,0
"PPFIA3",1,1,1,1,0
"STH",1,-1,-1,-1,1
"CALML5",1,-1,1,1,1
"RHPN1-AS1",1,NA,NA,NA,0
"KRT8P41",1,NA,NA,NA,0
"LINC01096",1,NA,NA,NA,0
"YJEFN3",1,-1,1,-1,1
"YBX2",1,-1,1,-1,1
"LINC00602",1,NA,NA,NA,0
"POM121L4P",1,NA,NA,1,0
"ZFPM1",1,-1,-1,1,1
"CYP21A1P",1,NA,NA,NA,0
"PRR19",1,1,1,-1,1
"C1QTNF5",1,1,-1,1,1
"MFRP",1,-1,1,NA,1
"ADRA2C",1,-1,1,-1,1
"OR13J1",1,-1,1,-1,1
"P2RX6",1,-1,-1,1,1
"ALPP",1,1,1,1,0
"HRC",1,-1,1,-1,1
"WWC2-AS2",1,NA,NA,NA,0
"ASPDH",1,-1,-1,-1,1
"MAST1",1,-1,-1,-1,1
"TEDC2",1,-1,1,NA,1
"GOLGA8F",1,-1,-1,-1,1
"HES3",1,NA,-1,-1,1
"FOXD2-AS1",1,NA,NA,NA,0
"SSTR4",1,1,1,1,0
"CXorf49B",1,-1,1,1,1
"CCDC177",1,NA,NA,NA,0
"SPPL2C",1,NA,NA,NA,0
"FXYD4",1,1,1,1,0
"CERS1",1,1,-1,1,1
"SSR4P1",1,NA,NA,1,0
"GDF1",1,NA,NA,-1,1
"DNASE1L2",1,1,1,NA,0
"CYP1A1",1,1,-1,-1,1
"FAM138D",1,NA,NA,1,0
"IL4I1",1,1,-1,NA,1
"RAB26",1,-1,1,1,1
"LGALS4",1,1,1,1,0
"DMRTC2",1,-1,1,NA,1
"HGC6.3",1,NA,NA,1,0
"EXTL1",1,-1,-1,-1,1
"HPD",1,1,-1,1,1
"KRTAP5-6",1,-1,1,NA,1
"GOLGA6EP",1,NA,NA,NA,0
"H2AB3",1,NA,NA,NA,0
"PRDM10-DT",1,NA,NA,NA,0
"NPPA-AS1",1,NA,NA,NA,0
"LINC00905",1,NA,NA,NA,0
"CELSR3",1,-1,1,-1,1
"C10orf62",1,-1,-1,NA,1
"GNAO1-AS1",1,NA,NA,NA,0
"PFN3",1,NA,NA,-1,1
"LOC100129534",1,NA,NA,-1,1
"SEBOX",1,-1,-1,NA,1
"FNDC10",1,NA,NA,NA,0
"H2AB1",1,NA,NA,NA,0
"DBIL5P",1,NA,NA,NA,0
"C15orf62",1,-1,-1,1,1
"LOC101059915",1,NA,NA,NA,0
"ZNF469",1,-1,-1,-1,1
"LINC01101",1,NA,NA,NA,0
"GOLGA8G",1,-1,-1,NA,1
"JUN",1,1,-1,1,1
"NPPA",1,-1,1,1,1
"KRTAP5-5",1,-1,-1,NA,1
"H2AB2",1,NA,NA,NA,0
"WDR97",1,-1,1,NA,1
"PSMB11",1,NA,NA,NA,0
"ANGPTL6",1,-1,1,-1,1
"RTEL1",1,-1,1,1,1
"CENPVL2",1,1,1,NA,0
"ABHD16B",1,NA,NA,1,0
"CXorf49",1,-1,1,NA,1
"C16orf92",1,-1,1,-1,1
"GOLGA8EP",1,NA,NA,NA,0
"CENPVL1",1,1,1,NA,0
"SYT5",1,-1,1,-1,1
"LY6G6F",1,-1,1,-1,1
"GARIN5B",1,NA,NA,NA,0
"LY6G6F-LY6G6D",1,1,1,NA,0
"FAM236B",1,-1,-1,NA,1
"CAMKV",1,1,-1,1,1
"PNMA8B",1,1,-1,NA,1
"SYCE1",1,1,1,NA,0
"TRIM74",1,-1,1,NA,1
"EXOC3-AS1",1,NA,NA,NA,0
"SPEM2",1,-1,1,NA,1
"FAM138E",1,NA,NA,-1,1
"SLC35G3",1,-1,1,-1,1
"KRTAP5-3",1,1,1,1,0
"CCDC197",1,-1,1,NA,1
"ASB9P1",1,NA,NA,NA,0
"OR2C1",1,-1,-1,NA,1
"COL20A1",1,-1,-1,-1,1
"ECEL1P2",1,NA,NA,-1,1
"MYO15B",1,-1,1,1,1
"CDT1",1,-1,-1,-1,1
"MYEOV",1,-1,-1,-1,1
"LOC100129291",1,NA,NA,NA,0
"MROH5",1,NA,NA,NA,0
"PRSS30P",1,NA,NA,1,0
"FREY1",1,NA,NA,NA,0
"TBX6",1,-1,1,NA,1
"FAM236A",1,1,1,NA,0
"ATP6V1F",1,1,1,1,0
"IFNL3",1,1,1,NA,0
"DCANP1",1,1,1,NA,0
"MYH6",1,NA,NA,-1,1
"LOC375196",1,NA,NA,-1,1
"LOC101927999",1,NA,NA,NA,0
"FAM215A",1,NA,NA,NA,0
"CCIN",1,1,-1,NA,1
"OR52W1",1,-1,-1,-1,1
"VESTAR",1,NA,NA,NA,0
"MEX3B",1,-1,-1,-1,1
"TUBB4A",1,-1,1,NA,1
"PRKACG",1,1,1,-1,1
"MAPT-IT1",1,NA,NA,NA,0
"AMER2",1,1,-1,NA,1
"SH2D6",1,-1,-1,1,1
"SULT1A1",1,1,1,NA,0
"GPR148",1,NA,NA,NA,0
"CMTM5",1,-1,1,NA,1
"FAM223A",1,NA,NA,NA,0
"FAM138F",1,NA,NA,NA,0
"TRIM73",1,-1,-1,NA,1
"PACSIN1",1,1,-1,NA,1
"FAM138A",1,NA,NA,1,0
"SLC22A7",1,-1,-1,-1,1
"FOXL1",1,-1,1,-1,1
"DPM3",1,1,1,-1,1
"IL17REL",1,1,-1,NA,1
"ATRIP",1,1,1,-1,1
"POM121L2",1,1,1,1,0
"E2F1",1,NA,NA,-1,1
"ATP2B2",1,-1,-1,-1,1
"MT1DP",1,NA,NA,NA,0
"GPR6",1,NA,1,NA,0
"MUC12",1,1,1,1,0
"SOWAHD",1,NA,NA,NA,0
"SLC6A10P",1,NA,NA,-1,1
"NOC2LP2",1,NA,NA,NA,0
"LCK",1,1,1,1,0
"FOXD1",1,1,1,1,0
"MUC2",1,-1,-1,-1,1
"UBL4B",1,1,1,NA,0
"CDH24",1,-1,1,1,1
"C16orf82",1,NA,NA,-1,1
"FAM223B",1,NA,NA,NA,0
"NPAP1P9",1,NA,NA,NA,0
"TPI1P2",1,NA,NA,1,0
"NHERF4",1,NA,NA,NA,0
"RPRML",1,NA,NA,1,0
"ANO8",1,-1,1,-1,1
"F2",1,-1,-1,-1,1
"RCOR2",1,-1,1,NA,1
"MIR3907",1,NA,NA,NA,0
"HDAC10",1,-1,1,NA,1
"MROH6",1,1,1,NA,0
"VPREB1",1,1,-1,1,1
"107987398",1,NA,NA,NA,0
"MRGPRG",1,NA,NA,-1,1
"LOC105375107",1,NA,NA,NA,0
"CAPN11",1,-1,-1,1,1
"RNF225",1,-1,-1,NA,1
"MFSD3",1,-1,1,1,1
"CELF5",1,-1,1,-1,1
"GPR45",1,1,-1,NA,1
"OR5C1",1,-1,1,-1,1
"LOC100132287",1,NA,NA,NA,0
"GAST",1,NA,NA,-1,1
"GOLGA8S",1,-1,-1,NA,1
"SUPT20HL2",1,NA,NA,NA,0
"RGS9BP",1,1,1,1,0
"KLHL33",1,-1,-1,-1,1
"ANKRD9",1,-1,1,1,1
"TRIM50",1,1,-1,NA,1
"INGX",1,NA,NA,NA,0
"CCT8L2",1,-1,1,NA,1
"GPR32",1,-1,-1,1,1
"LINC00628",1,NA,NA,NA,0
"SPACA4",1,NA,NA,1,0
"DKFZp434L192",1,NA,NA,-1,1
"TLCD3B",1,NA,NA,NA,0
"CENPVL3",1,NA,NA,NA,0
"HTR7P1",1,NA,NA,1,0
"PRR23B",1,NA,NA,1,0
"SLC39A5",1,-1,1,-1,1
"PRKAG3",1,1,1,1,0
"GATA1",1,-1,-1,-1,1
"KRTAP12-3",1,NA,-1,-1,1
"AVPR2",1,1,1,1,0
"MC1R",1,-1,1,1,1
"BAD",-1,1,1,-1,1
"DSCR9",1,NA,NA,NA,0
"SNORA5B",1,NA,NA,NA,0
"KRTAP5-7",1,-1,-1,NA,1
"OTOP3",1,NA,NA,NA,0
"LOC574538",1,NA,NA,1,0
"SYNDIG1L",1,-1,1,1,1
"KLF14",1,NA,NA,1,0
"OR6B3",1,NA,1,NA,0
"LINC01686",1,NA,NA,NA,0
"LINC00656",1,NA,NA,NA,0
"TMOD4",1,-1,1,NA,1
"DRD5",1,1,-1,1,1
"SOX14",1,-1,-1,-1,1
"CLK2P1",1,NA,NA,NA,0
"NOTCH4",1,-1,1,-1,1
"GAS8-AS1",1,NA,NA,NA,0
"USP17L8",1,NA,NA,NA,0
"TNNC2",1,1,1,-1,1
"GNRHR2",1,NA,NA,-1,1
"SLC4A9",1,-1,1,1,1
"SOX1",1,-1,NA,-1,1
"DYNLT4",1,NA,NA,NA,0
"GOLGA6D",1,-1,-1,NA,1
"MST1R",1,-1,1,1,1
"CHRNE",1,1,-1,1,1
"TOLLIP-DT",1,NA,NA,NA,0
"NKX6-2",1,1,1,-1,1
"FBXW4P1",1,NA,NA,NA,0
"GPR137",-1,1,1,NA,1
"KRTAP5-10",1,-1,1,NA,1
"ADAMTSL5",1,-1,-1,-1,1
"NR2E3",1,-1,1,1,1
"SLC35G5",1,-1,1,-1,1
"FTCD",1,-1,1,1,1
"KLHL17",1,-1,1,-1,1
"P2RY4",1,-1,-1,1,1
"TOP1P2",1,NA,NA,NA,0
"KRTAP10-9",1,NA,NA,1,0
"KRTAP5-4",1,1,1,NA,0
"MYL11",1,NA,NA,NA,0
"KLLN",1,-1,1,-1,1
"LINC01089",1,NA,NA,NA,0
"OR10H5",1,-1,-1,1,1
"GRK4",1,-1,1,1,1
"CDC42EP2",1,-1,-1,-1,1
"IL11",1,-1,-1,1,1
"LOC100507634",1,NA,NA,-1,1
"FAM138C",1,NA,NA,NA,0
"HYAL3",1,1,1,1,0
"C17orf107",1,1,-1,-1,1
"PWAR4",1,NA,NA,NA,0
"FGF16",1,1,-1,1,1
"KLK5",1,1,1,1,0
"HTR1D",1,-1,1,-1,1
"TSPY26P",1,NA,NA,NA,0
"ZFR2",1,-1,1,1,1
"SNORD115-23",1,NA,NA,NA,0
"KIF12",1,1,1,NA,0
"GH2",1,NA,NA,1,0
"CALML6",1,-1,1,-1,1
"GABRB3",1,-1,-1,-1,1
"ZNF252P-AS1",1,NA,NA,NA,0
"SLC22A13",1,-1,-1,NA,1
"OXER1",1,1,1,NA,0
"KRTAP5-8",1,-1,1,1,1
"LINC02685",1,NA,NA,NA,0
"NRN1L",1,1,1,-1,1
"ZIC2",1,1,1,-1,1
"LINC00895",1,NA,NA,NA,0
"ZBED10P",1,NA,NA,NA,0
"ADCK5",1,-1,1,-1,1
"LOC102724151",1,NA,NA,NA,0
"SUPT20HL1",1,NA,NA,NA,0
"IFNL2",1,-1,-1,NA,1
"KRTAP12-2",1,NA,1,-1,1
"100133331",1,NA,NA,NA,0
"C20orf141",1,-1,-1,1,1
"PSORS1C3",1,NA,NA,NA,0
"NPAS4",1,-1,-1,1,1
"RDH8",1,-1,1,1,1
"TSSK6",1,1,1,1,0
"OBP2B",1,-1,1,1,1
"BOP1",1,-1,1,-1,1
"LOC644189",1,NA,NA,1,0
"SLC16A11",1,1,1,NA,0
"RXFP4",1,1,-1,1,1
"LHX3",1,NA,NA,-1,1
"TFAMP1",1,NA,NA,NA,0
"QRFP",1,-1,1,-1,1
"MGC16025",1,NA,NA,-1,1
"USP17L1",1,1,1,NA,0
"HOTTIP",1,NA,NA,NA,0
"LOC105374381",1,NA,NA,NA,0
"SLC26A6",1,-1,1,NA,1
"ATP6V0CP3",1,NA,NA,NA,0
"CCDC87",1,NA,NA,1,0
"MIR7114",1,NA,NA,NA,0
"MAS1",1,-1,1,1,1
"ABHD1",1,1,1,-1,1
"SNORA80C",1,NA,NA,NA,0
"101929738",1,NA,NA,NA,0
"DLL3",1,1,-1,-1,1
"KRTAP5-11",1,-1,-1,1,1
"LOC644936",1,NA,NA,NA,0
"LCE1B",1,-1,-1,-1,1
"KRTAP2-2",1,NA,1,-1,1
"CEBPA-DT",1,NA,NA,NA,0
"LOC100130849",1,NA,NA,1,0
"PRM1",1,NA,NA,1,0
"C1orf35",1,-1,1,-1,1
"FOXD4L3",1,-1,1,NA,1
"KRTAP10-1",1,NA,NA,-1,1
"GPR31",1,1,1,-1,1
"KRT19P2",1,NA,NA,NA,0
"KRTAP10-5",1,NA,NA,NA,0
"LINC00605",1,NA,NA,NA,0
"ROBO3",1,-1,1,1,1
"LOC112268432",1,NA,NA,NA,0
"ANGPTL8",1,-1,1,NA,1
"ATOH1",1,NA,NA,-1,1
"MMP25",1,-1,-1,1,1
"MAGEA9",1,NA,NA,1,0
"GRIK5",1,-1,1,1,1
"LINC02894",1,NA,NA,NA,0
"CLDN9",1,NA,NA,-1,1
"GOLGA6L25",1,NA,NA,NA,0
"IL3",1,-1,-1,-1,1
"101928055",1,NA,NA,NA,0
"CRSP8P",1,NA,NA,NA,0
"TTLL9",1,-1,-1,-1,1
"OMP",1,-1,-1,NA,1
"LYPLA2P2",1,NA,NA,NA,0
"EPOP",1,-1,1,NA,1
"RNF186",1,NA,NA,-1,1
"ABCB9",1,-1,-1,-1,1
"ELOA3BP",1,NA,NA,NA,0
"FLJ30679",1,NA,NA,1,0
"RNF126P1",1,NA,NA,NA,0
"USP17L3",1,NA,NA,NA,0
"MIR1268B",1,NA,NA,NA,0
"102724865",1,NA,NA,NA,0
"KRTAP4-9",1,NA,1,1,0
"HOXD12",1,NA,NA,-1,1
"ELOA3P",1,NA,NA,NA,0
"CCER1",1,NA,NA,NA,0
"LOC105373369",1,NA,NA,NA,0
"MAGEA2",1,1,1,NA,0
"TMEM88",1,1,1,NA,0
"MPIG6B",1,-1,-1,NA,1
"CDKN2A-AS1",1,NA,NA,NA,0
"ISM2",1,-1,1,-1,1
"TNIP2P1",1,NA,NA,NA,0
"USP17L4",1,NA,-1,NA,1
"IL27",1,1,1,-1,1
"FOXD4L1",1,-1,1,NA,1
"LRRC10",1,-1,-1,-1,1
"STRC",1,-1,1,1,1
"CCL26",1,1,1,1,0
"LINC02449",1,NA,NA,NA,0
"LILRA4",1,1,1,1,0
"KRTAP5-9",1,-1,1,NA,1
"OR6B2",1,NA,1,NA,0
"LOC107985201",1,NA,NA,NA,0
"CUX2",1,-1,-1,-1,1
"LSMEM2",1,NA,NA,NA,0
"GOLGA6L24",1,NA,NA,NA,0
"USP17L22",1,NA,NA,NA,0
"APC2",1,1,-1,NA,1
"OR2Z1",1,NA,NA,-1,1
"LOC102724563",1,NA,NA,NA,0
"LOC102724197",1,NA,NA,NA,0
"LOC100533997",1,NA,NA,NA,0
"MAGEA5P",1,NA,NA,NA,0
"FGF22",1,-1,1,1,1
"MPC1L",1,-1,-1,NA,1
"FAM85A",1,NA,NA,NA,0
"KCNK4-CATSPERZ",1,NA,NA,NA,0
"AQP8",1,1,1,1,0
"MYRF",1,1,1,NA,0
"OR6V1",1,NA,-1,-1,1
"SLC9A5",1,-1,-1,1,1
"LCTL",1,-1,-1,1,1
"TMED2-DT",1,NA,NA,NA,0
"PRODH2",1,1,1,-1,1
"LOC105371822",1,NA,NA,NA,0
"KRTAP16-1",1,1,1,NA,0
"MAGEC1",1,-1,-1,-1,1
"KCNK7",1,-1,1,-1,1
"PRR36",1,1,-1,NA,1
"TOB2P1",1,NA,NA,1,0
"TMEM229A",1,1,-1,1,1
"H1-7",1,NA,NA,NA,0
"MIR181D",1,NA,NA,NA,0
"EML2-AS1",1,NA,NA,NA,0
"OTUD6A",1,-1,1,1,1
"VTN",1,-1,-1,1,1
"FLJ42627",1,NA,NA,1,0
"HBQ1",1,NA,NA,1,0
"EIF5AL1",1,-1,-1,-1,1
"BORCS6",1,1,1,NA,0
"SUV39H1",1,1,1,1,0
"SPTBN5",1,-1,1,-1,1
"LSP1P3",1,NA,NA,NA,0
"GOLGA6L1",1,-1,-1,1,1
"OR1K1",1,-1,-1,-1,1
"KCNK4",1,-1,1,-1,1
"PTPN5",1,-1,1,-1,1
"LOC729080",1,NA,NA,-1,1
"HTR1A",1,-1,-1,-1,1
"FBXW12",1,-1,-1,1,1
"SLC52A1",1,-1,1,NA,1
"POU3F4",1,NA,NA,-1,1
"INSM1",1,NA,NA,1,0
"CELA3A",1,1,-1,-1,1
"USP17L7",1,-1,-1,NA,1
"SNORA63",-1,NA,NA,NA,0
"TCEA2",1,-1,1,-1,1
"107987399",1,NA,NA,NA,0
"LINC02874",1,NA,NA,NA,0
"PCDHB17P",1,NA,NA,NA,0
"NXF5",1,-1,-1,-1,1
"TEX101",1,-1,-1,-1,1
"GLTPD2",1,NA,NA,-1,1
"ANKRD33",1,-1,1,1,1
"LOC105378589",1,NA,NA,NA,0
"LOC646471",1,NA,NA,1,0
"GOLGA6L26",1,NA,NA,NA,0
"RFPL3",1,-1,-1,1,1
"STRCP1",1,NA,NA,NA,0
"GJD3",1,1,1,-1,1
"MGAT4EP",1,NA,NA,NA,0
"CSH2",1,-1,-1,1,1
"ODF4",1,1,1,-1,1
"MIR1236",1,NA,NA,NA,0
"HPN-AS1",1,NA,NA,NA,0
"TRIM72",1,-1,NA,1,1
"KMT2E-AS1",1,NA,NA,NA,0
"MYADML",1,NA,NA,1,0
"OR10H2",1,NA,1,1,0
"SH3GL1P2",1,NA,NA,-1,1
"LOC107986800",1,NA,NA,NA,0
"HPX",1,-1,1,-1,1
"LIPE",1,-1,1,-1,1
"MBD3L1",1,-1,1,NA,1
"GUCY2D",1,-1,1,-1,1
"CEMP1",1,1,1,-1,1
"MST1",1,-1,1,-1,1
"KRT86",1,1,1,1,0
"PIPSL",1,NA,NA,NA,0
"HSD11B2",1,-1,-1,1,1
"DUOXA2",1,-1,-1,1,1
"SPC24",1,-1,1,-1,1
"FLJ13224",1,NA,NA,1,0
"ENTPD8",1,-1,1,1,1
"GPR25",1,1,1,1,0
"KRTAP12-1",1,1,1,NA,0
"TMEM102",1,1,1,-1,1
"STK32C",1,1,1,-1,1
"MRGPRX1",1,NA,NA,NA,0
"LCE1C",1,-1,-1,-1,1
"B3GALT6",1,NA,NA,-1,1
"CYP8B1",1,-1,-1,1,1
"HSD11B1L",1,-1,1,1,1
"KRTAP2-3",1,-1,1,NA,1
"RYR1",1,1,-1,1,1
"LOC100652777",1,NA,NA,NA,0
"LOC107985911",1,NA,NA,NA,0
"LINC02396",1,NA,NA,NA,0
"MC5R",1,1,-1,-1,1
"LOC112268130",1,NA,NA,NA,0
"RIN1",1,-1,1,1,1
"MOGAT3",1,NA,NA,1,0
"NSUN5",1,1,1,-1,1
"TRIL",1,1,-1,-1,1
"TRIM54",1,-1,1,NA,1
"LOC649352",1,NA,NA,NA,0
"TSPYL6",1,NA,NA,1,0
"MAGEA9B",1,-1,-1,NA,1
"PIN4P1",1,NA,NA,NA,0
"ACKR1",1,-1,-1,NA,1
"S1PR4",1,1,1,-1,1
"GPR146",1,-1,-1,-1,1
"MFSD6L",1,-1,1,-1,1
"GOLGA6FP",1,NA,NA,NA,0
"SCARNA7",-1,NA,NA,-1,0
"KHDC3L",1,NA,NA,NA,0
"DCAF4L1",1,NA,NA,1,0
"102724823",1,NA,NA,NA,0
"OR3A3",1,-1,-1,1,1
"GHDC",1,-1,1,-1,1
"SH2B2",1,-1,1,-1,1
"LOC112268204",1,NA,NA,NA,0
"GOLGA6L6",1,-1,1,-1,1
"ANKRD24",1,-1,1,NA,1
"RLN1",1,1,1,-1,1
"CEP83-DT",1,NA,NA,NA,0
"LNROP",1,NA,NA,NA,0
"TAS2R41",1,-1,-1,1,1
"FERD3L",1,1,-1,1,1
"PP12613",1,NA,NA,1,0
"LOC105374608",1,NA,NA,NA,0
"KRTAP9-8",1,NA,NA,1,0
"KRTAP17-1",1,NA,1,-1,1
"XYLT2",1,1,1,1,0
"LOC90246",1,NA,NA,-1,1
"MAGIX",1,-1,1,-1,1
"TSPAN16",1,1,-1,1,1
