"","study_1","study_2","study_3","study_4"
"PRM3",0.742108238521282,0.670280062599836,0,0
"NANOS2",0.617988307121335,0,0.786187288285245,0
"RIMBP3C",1,0,0,0
"FOXD4",1,0,0,0
"NOTUM",0.617988307121335,0,0.786187288285245,0
"EPOR",1,0,0,0
"KRTAP10-4",1,0,0,0
"VIL1",0.617988307121335,0,0.786187288285245,0
"CTRL",1,0,0,0
"APLP1",1,0,0,0
"RIMBP3",1,0,0,0
"ALPI",1,0,0,0
"MAMDC4",1,0,0,0
"LOC407835",1,0,0,0
"26222",1,0,0,0
"SLC6A10PB",1,0,0,0
"SLIT1-AS1",1,0,0,0
"PLCD1",1,0,0,0
"ELOA3CP",1,0,0,0
"NEUROG1",1,0,0,0
"ELOA3DP",1,0,0,0
"PPFIA3",1,0,0,0
"STH",0.53961814226692,0.487388851657797,0.686486975707545,0
"CALML5",0.53961814226692,0.487388851657797,0.686486975707545,0
"RHPN1-AS1",1,0,0,0
"KRT8P41",1,0,0,0
"LINC01096",1,0,0,0
"YJEFN3",1,0,0,0
"YBX2",0.742108238521282,0.670280062599836,0,0
"LINC00602",1,0,0,0
"POM121L4P",1,0,0,0
"ZFPM1",1,0,0,0
"CYP21A1P",1,0,0,0
"PRR19",1,0,0,0
"C1QTNF5",1,0,0,0
"MFRP",0.742108238521282,0.670280062599836,0,0
"ADRA2C",1,0,0,0
"OR13J1",1,0,0,0
"P2RX6",0.742108238521282,0.670280062599836,0,0
"ALPP",0.617988307121335,0,0.786187288285245,0
"HRC",1,0,0,0
"WWC2-AS2",1,0,0,0
"ASPDH",1,0,0,0
"MAST1",1,0,0,0
"TEDC2",1,0,0,0
"GOLGA8F",1,0,0,0
"HES3",1,0,0,0
"FOXD2-AS1",1,0,0,0
"SSTR4",1,0,0,0
"CXorf49B",1,0,0,0
"CCDC177",1,0,0,0
"SPPL2C",1,0,0,0
"FXYD4",0.617988307121335,0,0.786187288285245,0
"CERS1",1,0,0,0
"SSR4P1",1,0,0,0
"GDF1",1,0,0,0
"DNASE1L2",1,0,0,0
"CYP1A1",0.617988307121335,0,0.786187288285245,0
"FAM138D",1,0,0,0
"IL4I1",1,0,0,0
"RAB26",1,0,0,0
"LGALS4",0.617988307121335,0,0.786187288285245,0
"DMRTC2",1,0,0,0
"HGC6.3",1,0,0,0
"EXTL1",1,0,0,0
"HPD",1,0,0,0
"KRTAP5-6",1,0,0,0
"GOLGA6EP",1,0,0,0
"H2AB3",1,0,0,0
"PRDM10-DT",1,0,0,0
"NPPA-AS1",1,0,0,0
"LINC00905",1,0,0,0
"CELSR3",1,0,0,0
"C10orf62",1,0,0,0
"GNAO1-AS1",1,0,0,0
"PFN3",1,0,0,0
"LOC100129534",1,0,0,0
"SEBOX",1,0,0,0
"FNDC10",1,0,0,0
"H2AB1",1,0,0,0
"DBIL5P",1,0,0,0
"C15orf62",1,0,0,0
"LOC101059915",1,0,0,0
"ZNF469",1,0,0,0
"LINC01101",1,0,0,0
"GOLGA8G",1,0,0,0
"JUN",1,0,0,0
"NPPA",1,0,0,0
"KRTAP5-5",1,0,0,0
"H2AB2",1,0,0,0
"WDR97",1,0,0,0
"PSMB11",1,0,0,0
"ANGPTL6",1,0,0,0
"RTEL1",1,0,0,0
"CENPVL2",0.742108238521282,0.670280062599836,0,0
"ABHD16B",1,0,0,0
"CXorf49",1,0,0,0
"C16orf92",0.742108238521282,0.670280062599836,0,0
"GOLGA8EP",1,0,0,0
"CENPVL1",0.742108238521282,0.670280062599836,0,0
"SYT5",1,0,0,0
"LY6G6F",0.617988307121335,0,0.786187288285245,0
"GARIN5B",1,0,0,0
"LY6G6F-LY6G6D",1,0,0,0
"FAM236B",0.742108238521282,0.670280062599836,0,0
"CAMKV",1,0,0,0
"PNMA8B",1,0,0,0
"SYCE1",1,0,0,0
"TRIM74",1,0,0,0
"EXOC3-AS1",1,0,0,0
"SPEM2",1,0,0,0
"FAM138E",1,0,0,0
"SLC35G3",1,0,0,0
"KRTAP5-3",1,0,0,0
"CCDC197",1,0,0,0
"ASB9P1",1,0,0,0
"OR2C1",1,0,0,0
"COL20A1",1,0,0,0
"ECEL1P2",1,0,0,0
"MYO15B",1,0,0,0
"CDT1",1,0,0,0
"MYEOV",1,0,0,0
"LOC100129291",1,0,0,0
"MROH5",1,0,0,0
"PRSS30P",1,0,0,0
"FREY1",1,0,0,0
"TBX6",1,0,0,0
"FAM236A",1,0,0,0
"ATP6V1F",1,0,0,0
"IFNL3",0.742108238521282,0.670280062599836,0,0
"DCANP1",0.53961814226692,0.487388851657797,0.686486975707545,0
"MYH6",1,0,0,0
"LOC375196",1,0,0,0
"LOC101927999",1,0,0,0
"FAM215A",1,0,0,0
"CCIN",1,0,0,0
"OR52W1",1,0,0,0
"VESTAR",1,0,0,0
"MEX3B",1,0,0,0
"TUBB4A",1,0,0,0
"PRKACG",1,0,0,0
"MAPT-IT1",1,0,0,0
"AMER2",1,0,0,0
"SH2D6",1,0,0,0
"SULT1A1",1,0,0,0
"GPR148",1,0,0,0
"CMTM5",1,0,0,0
"FAM223A",1,0,0,0
"FAM138F",1,0,0,0
"TRIM73",1,0,0,0
"PACSIN1",1,0,0,0
"FAM138A",1,0,0,0
"SLC22A7",0.742108238521282,0.670280062599836,0,0
"FOXL1",1,0,0,0
"DPM3",1,0,0,0
"IL17REL",1,0,0,0
"ATRIP",1,0,0,0
"POM121L2",1,0,0,0
"E2F1",1,0,0,0
"ATP2B2",0.617988307121335,0,0.786187288285245,0
"MT1DP",1,0,0,0
"GPR6",1,0,0,0
"MUC12",1,0,0,0
"SOWAHD",1,0,0,0
"SLC6A10P",1,0,0,0
"NOC2LP2",1,0,0,0
"LCK",1,0,0,0
"FOXD1",1,0,0,0
"MUC2",0.742108238521282,0.670280062599836,0,0
"UBL4B",1,0,0,0
"CDH24",1,0,0,0
"C16orf82",1,0,0,0
"FAM223B",1,0,0,0
"NPAP1P9",1,0,0,0
"TPI1P2",1,0,0,0
"NHERF4",1,0,0,0
"RPRML",1,0,0,0
"ANO8",1,0,0,0
"F2",0.742108238521282,0.670280062599836,0,0
"RCOR2",1,0,0,0
"MIR3907",1,0,0,0
"HDAC10",1,0,0,0
"MROH6",0.617988307121335,0,0.786187288285245,0
"VPREB1",0.742108238521282,0.670280062599836,0,0
"107987398",1,0,0,0
"MRGPRG",1,0,0,0
"LOC105375107",1,0,0,0
"CAPN11",0.742108238521282,0.670280062599836,0,0
"RNF225",1,0,0,0
"MFSD3",1,0,0,0
"CELF5",1,0,0,0
"GPR45",1,0,0,0
"OR5C1",1,0,0,0
"LOC100132287",1,0,0,0
"GAST",1,0,0,0
"GOLGA8S",1,0,0,0
"SUPT20HL2",1,0,0,0
"RGS9BP",0.53961814226692,0.487388851657797,0.686486975707545,0
"KLHL33",1,0,0,0
"ANKRD9",1,0,0,0
"TRIM50",1,0,0,0
"INGX",1,0,0,0
"CCT8L2",1,0,0,0
"GPR32",1,0,0,0
"LINC00628",1,0,0,0
"SPACA4",1,0,0,0
"DKFZp434L192",1,0,0,0
"TLCD3B",1,0,0,0
"CENPVL3",1,0,0,0
"HTR7P1",1,0,0,0
"PRR23B",1,0,0,0
"SLC39A5",1,0,0,0
"PRKAG3",1,0,0,0
"GATA1",1,0,0,0
"KRTAP12-3",1,0,0,0
"AVPR2",0.617988307121335,0,0.786187288285245,0
"MC1R",1,0,0,0
"DSCR9",1,0,0,0
"SNORA5B",1,0,0,0
"KRTAP5-7",1,0,0,0
"OTOP3",1,0,0,0
"LOC574538",1,0,0,0
"SYNDIG1L",1,0,0,0
"KLF14",1,0,0,0
"OR6B3",1,0,0,0
"LINC01686",1,0,0,0
"LINC00656",1,0,0,0
"TMOD4",1,0,0,0
"DRD5",0.617988307121335,0,0.786187288285245,0
"SOX14",1,0,0,0
"CLK2P1",1,0,0,0
"NOTCH4",1,0,0,0
"GAS8-AS1",1,0,0,0
"USP17L8",1,0,0,0
"TNNC2",1,0,0,0
"GNRHR2",1,0,0,0
"SLC4A9",1,0,0,0
"SOX1",1,0,0,0
"DYNLT4",1,0,0,0
"GOLGA6D",1,0,0,0
"MST1R",1,0,0,0
"CHRNE",1,0,0,0
"TOLLIP-DT",1,0,0,0
"NKX6-2",0.433726655719,0.391746533532402,0.551774814162947,0.594945708480702
"FBXW4P1",1,0,0,0
"KRTAP5-10",1,0,0,0
"ADAMTSL5",1,0,0,0
"NR2E3",1,0,0,0
"SLC35G5",1,0,0,0
"FTCD",0.742108238521282,0.670280062599836,0,0
"KLHL17",1,0,0,0
"P2RY4",1,0,0,0
"TOP1P2",1,0,0,0
"KRTAP10-9",1,0,0,0
"KRTAP5-4",1,0,0,0
"MYL11",1,0,0,0
"KLLN",1,0,0,0
"LINC01089",1,0,0,0
"OR10H5",1,0,0,0
"GRK4",1,0,0,0
"CDC42EP2",0.53961814226692,0.487388851657797,0.686486975707545,0
"IL11",0.53961814226692,0.487388851657797,0.686486975707545,0
"LOC100507634",1,0,0,0
"FAM138C",1,0,0,0
"HYAL3",1,0,0,0
"C17orf107",1,0,0,0
"PWAR4",1,0,0,0
"FGF16",1,0,0,0
"KLK5",0.617988307121335,0,0.786187288285245,0
"HTR1D",1,0,0,0
"TSPY26P",1,0,0,0
"ZFR2",1,0,0,0
"SNORD115-23",1,0,0,0
"KIF12",0.617988307121335,0,0.786187288285245,0
"GH2",1,0,0,0
"CALML6",1,0,0,0
"GABRB3",1,0,0,0
"ZNF252P-AS1",1,0,0,0
"SLC22A13",0.742108238521282,0.670280062599836,0,0
"OXER1",1,0,0,0
"KRTAP5-8",0.742108238521282,0.670280062599836,0,0
"LINC02685",1,0,0,0
"NRN1L",0.617988307121335,0,0.786187288285245,0
"ZIC2",0.617988307121335,0,0.786187288285245,0
"LINC00895",1,0,0,0
"ZBED10P",1,0,0,0
"ADCK5",1,0,0,0
"LOC102724151",1,0,0,0
"SUPT20HL1",1,0,0,0
"IFNL2",1,0,0,0
"KRTAP12-2",1,0,0,0
"100133331",1,0,0,0
"C20orf141",1,0,0,0
"PSORS1C3",1,0,0,0
"NPAS4",0.617988307121335,0,0.786187288285245,0
"RDH8",1,0,0,0
"TSSK6",1,0,0,0
"OBP2B",0.742108238521282,0.670280062599836,0,0
"BOP1",0.742108238521282,0.670280062599836,0,0
"LOC644189",1,0,0,0
"SLC16A11",1,0,0,0
"RXFP4",1,0,0,0
"LHX3",1,0,0,0
"TFAMP1",1,0,0,0
"QRFP",1,0,0,0
"MGC16025",1,0,0,0
"USP17L1",1,0,0,0
"HOTTIP",1,0,0,0
"LOC105374381",1,0,0,0
"SLC26A6",1,0,0,0
"ATP6V0CP3",1,0,0,0
"CCDC87",1,0,0,0
"MIR7114",1,0,0,0
"MAS1",1,0,0,0
"ABHD1",1,0,0,0
"SNORA80C",1,0,0,0
"101929738",1,0,0,0
"DLL3",1,0,0,0
"KRTAP5-11",0.742108238521282,0.670280062599836,0,0
"LOC644936",1,0,0,0
"LCE1B",1,0,0,0
"KRTAP2-2",1,0,0,0
"CEBPA-DT",1,0,0,0
"LOC100130849",1,0,0,0
"PRM1",1,0,0,0
"C1orf35",1,0,0,0
"FOXD4L3",1,0,0,0
"KRTAP10-1",1,0,0,0
"GPR31",0.53961814226692,0.487388851657797,0.686486975707545,0
"KRT19P2",1,0,0,0
"KRTAP10-5",1,0,0,0
"LINC00605",1,0,0,0
"ROBO3",1,0,0,0
"LOC112268432",1,0,0,0
"ANGPTL8",1,0,0,0
"ATOH1",1,0,0,0
"MMP25",0.617988307121335,0,0.786187288285245,0
"MAGEA9",1,0,0,0
"GRIK5",1,0,0,0
"LINC02894",1,0,0,0
"CLDN9",1,0,0,0
"GOLGA6L25",1,0,0,0
"IL3",0.742108238521282,0.670280062599836,0,0
"101928055",1,0,0,0
"CRSP8P",1,0,0,0
"TTLL9",0.742108238521282,0.670280062599836,0,0
"OMP",0.742108238521282,0.670280062599836,0,0
"LYPLA2P2",1,0,0,0
"EPOP",1,0,0,0
"RNF186",1,0,0,0
"ABCB9",1,0,0,0
"ELOA3BP",1,0,0,0
"FLJ30679",1,0,0,0
"RNF126P1",1,0,0,0
"USP17L3",1,0,0,0
"MIR1268B",1,0,0,0
"102724865",1,0,0,0
"KRTAP4-9",1,0,0,0
"HOXD12",1,0,0,0
"ELOA3P",1,0,0,0
"CCER1",1,0,0,0
"LOC105373369",1,0,0,0
"MAGEA2",1,0,0,0
"TMEM88",1,0,0,0
"MPIG6B",1,0,0,0
"CDKN2A-AS1",1,0,0,0
"ISM2",1,0,0,0
"TNIP2P1",1,0,0,0
"USP17L4",1,0,0,0
"IL27",1,0,0,0
"FOXD4L1",1,0,0,0
"LRRC10",1,0,0,0
"STRC",0.742108238521282,0.670280062599836,0,0
"CCL26",1,0,0,0
"LINC02449",1,0,0,0
"LILRA4",0.742108238521282,0.670280062599836,0,0
"KRTAP5-9",1,0,0,0
"OR6B2",1,0,0,0
"LOC107985201",1,0,0,0
"CUX2",1,0,0,0
"LSMEM2",1,0,0,0
"GOLGA6L24",1,0,0,0
"USP17L22",1,0,0,0
"APC2",1,0,0,0
"OR2Z1",1,0,0,0
"LOC102724563",1,0,0,0
"LOC102724197",1,0,0,0
"LOC100533997",1,0,0,0
"MAGEA5P",1,0,0,0
"FGF22",1,0,0,0
"MPC1L",1,0,0,0
"FAM85A",1,0,0,0
"KCNK4-CATSPERZ",1,0,0,0
"AQP8",1,0,0,0
"MYRF",1,0,0,0
"OR6V1",1,0,0,0
"SLC9A5",1,0,0,0
"LCTL",1,0,0,0
"TMED2-DT",1,0,0,0
"PRODH2",1,0,0,0
"LOC105371822",1,0,0,0
"KRTAP16-1",0.742108238521282,0.670280062599836,0,0
"MAGEC1",1,0,0,0
"KCNK7",1,0,0,0
"PRR36",1,0,0,0
"TOB2P1",1,0,0,0
"TMEM229A",1,0,0,0
"H1-7",1,0,0,0
"MIR181D",1,0,0,0
"EML2-AS1",1,0,0,0
"OTUD6A",0.742108238521282,0.670280062599836,0,0
"VTN",1,0,0,0
"FLJ42627",1,0,0,0
"HBQ1",1,0,0,0
"EIF5AL1",1,0,0,0
"BORCS6",1,0,0,0
"SUV39H1",1,0,0,0
"SPTBN5",0.617988307121335,0,0.786187288285245,0
"LSP1P3",1,0,0,0
"GOLGA6L1",0.742108238521282,0.670280062599836,0,0
"OR1K1",0.589094188963293,0,0,0.808064376476083
"KCNK4",1,0,0,0
"PTPN5",1,0,0,0
"LOC729080",1,0,0,0
"HTR1A",1,0,0,0
"FBXW12",0.742108238521282,0.670280062599836,0,0
"SLC52A1",1,0,0,0
"POU3F4",1,0,0,0
"INSM1",1,0,0,0
"CELA3A",0.617988307121335,0,0.786187288285245,0
"USP17L7",1,0,0,0
"SNORA63",1,0,0,0
"TCEA2",1,0,0,0
"107987399",1,0,0,0
"LINC02874",1,0,0,0
"PCDHB17P",1,0,0,0
"NXF5",1,0,0,0
"TEX101",1,0,0,0
"GLTPD2",1,0,0,0
"ANKRD33",1,0,0,0
"LOC105378589",1,0,0,0
"LOC646471",1,0,0,0
"GOLGA6L26",1,0,0,0
"RFPL3",0.742108238521282,0.670280062599836,0,0
"STRCP1",1,0,0,0
"GJD3",1,0,0,0
"MGAT4EP",1,0,0,0
"CSH2",1,0,0,0
"ODF4",1,0,0,0
"MIR1236",1,0,0,0
"HPN-AS1",1,0,0,0
"TRIM72",1,0,0,0
"KMT2E-AS1",1,0,0,0
"MYADML",1,0,0,0
"OR10H2",1,0,0,0
"SH3GL1P2",1,0,0,0
"LOC107986800",1,0,0,0
"HPX",0.742108238521282,0.670280062599836,0,0
"LIPE",1,0,0,0
"MBD3L1",0.742108238521282,0.670280062599836,0,0
"GUCY2D",1,0,0,0
"CEMP1",0.617988307121335,0,0.786187288285245,0
"MST1",1,0,0,0
"KRT86",1,0,0,0
"PIPSL",1,0,0,0
"HSD11B2",0.742108238521282,0.670280062599836,0,0
"DUOXA2",1,0,0,0
"SPC24",1,0,0,0
"FLJ13224",1,0,0,0
"ENTPD8",1,0,0,0
"GPR25",0.742108238521282,0.670280062599836,0,0
"KRTAP12-1",0.742108238521282,0.670280062599836,0,0
"TMEM102",1,0,0,0
"STK32C",1,0,0,0
"MRGPRX1",1,0,0,0
"LCE1C",0.742108238521282,0.670280062599836,0,0
"B3GALT6",1,0,0,0
"CYP8B1",1,0,0,0
"HSD11B1L",1,0,0,0
"KRTAP2-3",0.742108238521282,0.670280062599836,0,0
"RYR1",1,0,0,0
"LOC100652777",1,0,0,0
"LOC107985911",1,0,0,0
"LINC02396",1,0,0,0
"MC5R",1,0,0,0
"LOC112268130",1,0,0,0
"RIN1",1,0,0,0
"MOGAT3",1,0,0,0
"NSUN5",1,0,0,0
"TRIL",1,0,0,0
"TRIM54",1,0,0,0
"LOC649352",1,0,0,0
"TSPYL6",1,0,0,0
"MAGEA9B",0.617988307121335,0,0.786187288285245,0
"PIN4P1",1,0,0,0
"ACKR1",1,0,0,0
"S1PR4",1,0,0,0
"GPR146",1,0,0,0
"MFSD6L",1,0,0,0
"GOLGA6FP",1,0,0,0
"SCARNA7",1,0,0,0
"KHDC3L",1,0,0,0
"DCAF4L1",1,0,0,0
"102724823",1,0,0,0
"OR3A3",1,0,0,0
"GHDC",1,0,0,0
"SH2B2",1,0,0,0
"LOC112268204",1,0,0,0
"GOLGA6L6",0.742108238521282,0.670280062599836,0,0
"ANKRD24",1,0,0,0
"RLN1",1,0,0,0
"CEP83-DT",1,0,0,0
"LNROP",1,0,0,0
"TAS2R41",1,0,0,0
"FERD3L",1,0,0,0
"PP12613",1,0,0,0
"LOC105374608",1,0,0,0
"KRTAP9-8",1,0,0,0
"KRTAP17-1",1,0,0,0
"XYLT2",1,0,0,0
"LOC90246",1,0,0,0
"MAGIX",1,0,0,0
"TSPAN16",1,0,0,0
"TMIGD2",0.742108238521282,0.670280062599836,0,0
"EPB41L4A-DT",1,0,0,0
"APOA4",1,0,0,0
"CELF3",1,0,0,0
"RHBDF2",1,0,0,0
"KRTAP9-1",1,0,0,0
"PLEKHG6",1,0,0,0
"SOX11",1,0,0,0
"TFDP3",1,0,0,0
"LCE3A",1,0,0,0
"EPHA1",1,0,0,0
"UROC1",0.617988307121335,0,0.786187288285245,0
"FAM226A",1,0,0,0
"BIRC8",1,0,0,0
"ANKLE1",1,0,0,0
"H3-4",1,0,0,0
"HEXIM2",1,0,0,0
"LDC1P",1,0,0,0
"LBX2-AS1",1,0,0,0
"FAM106C",1,0,0,0
"CDK3",1,0,0,0
"LOC100131496",1,0,0,0
"MARK2P9",1,0,0,0
"OR7E37P",1,0,0,0
"FAM226B",1,0,0,0
"DPPA2P3",1,0,0,0
"FAM138B",1,0,0,0
"KLHDC7A",1,0,0,0
"SPAAR",1,0,0,0
"ASPRV1",1,0,0,0
"SCN2B",1,0,0,0
"TAF1L",1,0,0,0
"TMEM114",0.617988307121335,0,0.786187288285245,0
"LHX4",1,0,0,0
"FOXE1",1,0,0,0
"TBC1D21",1,0,0,0
"NCR2",1,0,0,0
"DQX1",0.742108238521282,0.670280062599836,0,0
"CSHL1",1,0,0,0
"LINC02579",1,0,0,0
"NBEAL2",1,0,0,0
"UBE2MP1",1,0,0,0
"CETN1",1,0,0,0
"OR1M1",1,0,0,0
"RGPD4-AS1",1,0,0,0
"MAMSTR",1,0,0,0
"NKX2-6",1,0,0,0
"PAQR4",1,0,0,0
"CDRT15L2",1,0,0,0
"WDR83",1,0,0,0
"PALM3",1,0,0,0
"ELMO3",0.617988307121335,0,0.786187288285245,0
"SEC14L4",1,0,0,0
"LINC00965",1,0,0,0
"CNTFR",1,0,0,0
"NOXO1",1,0,0,0
"ARGFXP2",1,0,0,0
"MKRN3",0.589094188963293,0,0,0.808064376476083
"MFSD13A",1,0,0,0
"102723539",1,0,0,0
"ELOA2",1,0,0,0
"ELOVL2-AS1",1,0,0,0
"LEISA1",1,0,0,0
"USP17L2",1,0,0,0
"KPLCE",1,0,0,0
"FTMT",1,0,0,0
"BAHCC1",1,0,0,0
"MUC12-AS1",1,0,0,0
"PKN3",1,0,0,0
"MYADML2",0.742108238521282,0.670280062599836,0,0
"C6orf15",0.742108238521282,0.670280062599836,0,0
"CLDN34",1,0,0,0
"ARHGAP11A-DT",1,0,0,0
"OR4D1",1,0,0,0
"NPW",1,0,0,0
"BPIFB3",1,0,0,0
"EPHA8",1,0,0,0
"LOC105371567",1,0,0,0
"PCDHB8",1,0,0,0
"NPC1L1",1,0,0,0
"ACTL7B",0.742108238521282,0.670280062599836,0,0
"GPR150",1,0,0,0
"CDRT15P2",1,0,0,0
"PLEKHG4",1,0,0,0
"DPPA5",1,0,0,0
"TEDDM1",1,0,0,0
"LOC101060341",1,0,0,0
"PCDHB6",1,0,0,0
"ZNF653",1,0,0,0
"KRT33B",1,0,0,0
"DUOX2",1,0,0,0
"TMEM95",1,0,0,0
"TARDBPP3",1,0,0,0
"LINC00235",1,0,0,0
"TREH",1,0,0,0
"LCE1F",1,0,0,0
"ST20-AS1",1,0,0,0
"MYH3",0.617988307121335,0,0.786187288285245,0
"RPL10L",1,0,0,0
"KRTAP9-2",1,0,0,0
"PTMAP11",1,0,0,0
"PIP5K1P1",1,0,0,0
"HDDC3",1,0,0,0
"RTL1",0.742108238521282,0.670280062599836,0,0
"OR3A2",1,0,0,0
"TUBB8",0.742108238521282,0.670280062599836,0,0
"CHRND",1,0,0,0
"SAE1P1",1,0,0,0
